1404, pdata: 4 (0,0,4) 
99: [+37.204296,+43.690804,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
100: [+37.534031,+43.705875,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
101: [+37.882481,+43.675842,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
102: [+37.227539,+44.037689,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
103: [+37.459435,+44.000179,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
104: [+37.791687,+43.978493,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
105: [+37.188446,+44.349937,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
106: [+37.436653,+44.386909,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
107: [+37.839451,+44.277363,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
108: [+26.134302,+44.634926,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
109: [+26.436390,+44.702881,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
110: [+26.830048,+44.648338,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
111: [+26.187742,+44.996693,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
112: [+26.506567,+45.040112,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
113: [+26.780262,+44.967453,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
114: [+26.197567,+45.294479,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
115: [+26.462009,+45.351280,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
116: [+26.818893,+45.271595,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
117: [+27.233263,+44.684181,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
118: [+27.561996,+44.645027,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
119: [+27.868622,+44.607716,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
120: [+27.157400,+44.997227,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
121: [+27.555435,+45.003551,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
122: [+27.807611,+45.049896,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
123: [+27.169657,+45.320641,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
124: [+27.541897,+45.359516,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
125: [+27.836441,+45.329243,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
126: [+28.222355,+44.611992,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
127: [+28.493765,+44.647991,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
128: [+28.787922,+44.697727,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
129: [+28.211403,+45.055412,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
130: [+28.510069,+44.970867,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
131: [+28.872284,+44.943707,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
132: [+28.202276,+45.368904,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
133: [+28.461607,+45.298431,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
