1404, pdata: 4 (0,0,4) 
80: [+34.899162,+46.165920,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
81: [+35.123138,+45.453907,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
82: [+35.436810,+45.468655,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
83: [+35.838326,+45.450890,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
84: [+35.167435,+45.889374,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
85: [+35.562302,+45.764267,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
86: [+35.860424,+45.870308,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
87: [+35.117565,+46.175362,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
88: [+35.461723,+46.129311,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
89: [+35.823490,+46.145126,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
90: [+36.148548,+45.499367,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
91: [+36.494766,+45.542225,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
92: [+36.855301,+45.553921,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
93: [+36.193554,+45.858818,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
94: [+36.562984,+45.775944,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
95: [+36.771172,+45.805553,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
96: [+36.223289,+46.208820,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
97: [+36.454117,+46.194275,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
